timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1751310000,3,138.79,0,2.87,50.4,0.89,14.7,72.14,23.77
1751313600,3,135.05,0,2.62,51.07,0.79,15.87,78.71,24.04
1751317200,3,133.58,0,2.36,51.72,0.71,17.26,86.18,24.06
1751320800,3,134.32,0,2.14,52.74,0.65,18.96,94.14,23.75
1751324400,4,138.66,0,1.97,55.5,0.64,21.16,101.75,23.67
1751328000,4,144.69,0,1.83,60,0.69,23.59,108.8,23.29
1751331600,4,151.59,0,1.94,64.1,0.81,25.73,113.89,18.74
1751335200,4,160.59,0.08,2.14,66.83,1.01,27.66,118.43,14.56
1751338800,4,165.98,0.24,2.09,69.56,1.22,29.43,123.39,11.49
1751342400,4,161.64,0.26,1.59,74.59,1.36,31.16,128.41,9.1
1751346000,4,155.35,0.21,1.23,78.63,1.4,32.91,131.36,7.97
1751349600,4,148.44,0.16,0.97,81.43,1.35,34.71,133.1,7.29
1751353200,3,136.6,0.07,0.8,75.23,0.97,26.16,96.29,5.06
1751356800,3,131.61,0.04,0.86,69.38,0.85,20.01,73.18,4.19
1751360400,3,131.89,0.02,1.15,67.8,1.36,18.81,68.57,4.3
1751364000,3,137.36,0.01,1.87,68.13,2.35,19.18,67.8,4.85
1751367600,3,145.81,0.01,2.94,68.04,3.5,20,68.06,5.69
1751371200,3,155.92,0.01,4.34,68.46,4.87,21.28,68.83,6.45
1751374800,3,172.75,0.07,6.46,69.6,6.78,23.51,71.49,7.99
1751378400,3,194.55,0.01,8.89,70.34,8.89,26.45,75.87,10.1
1751382000,3,210.67,0,10.19,70.51,10.57,29.07,80.25,11.67
1751385600,3,216.14,0,10.42,69.02,11.53,30.61,83.27,12.43
1751389200,3,216.62,0,9.9,66.63,11.42,31.05,86.48,12.85
1751392800,3,212.32,0,9.04,62.97,10.13,30.3,89.01,13.07
1751396400,3,201.53,0,7.88,58.75,8.14,28.71,90.85,13.13
1751400000,3,192.02,0,6.77,54.77,6.04,27.1,92.68,13.44
1751403600,3,185.5,0,5.91,51.04,4.22,25.78,94.98,13.81
1751407200,3,182.46,0,5.44,47.62,2.86,24.91,96.33,14.46
1751410800,3,183.4,0,5.36,44.52,1.99,24.51,96.21,15.48
1751414400,3,185.29,0,5.51,41.79,1.52,24.12,94.31,16.22
1751418000,3,187.9,0.01,5.8,39.27,1.38,23.48,90.8,16.34
1751421600,3,196.34,0.29,6.06,38.06,1.49,23.03,88.27,15.68
1751425200,3,203.6,0.85,5.81,40.41,1.71,22.68,87.7,14.06
1751428800,3,193.5,0.93,4.85,48.97,1.99,22.57,87.86,11.65
1751432400,3,191.21,0.69,4.15,60.64,2.34,24.71,89.36,10.93
1751436000,3,188.27,0.46,3.11,75.25,2.66,28.75,95.14,10.49
1751439600,3,153.41,0.18,1.49,81.58,2.2,26.32,92.7,6.57
1751443200,3,141.4,0.14,0.97,80.89,1.72,22.46,79.29,5.24
1751446800,3,141.19,0.13,0.85,83.77,1.65,21.14,71.07,5.08
1751450400,3,147.35,0.14,0.95,88.87,1.67,21.52,67.37,5.61
1751454000,3,159.11,0.18,1.31,94.42,1.79,22.97,66.4,6.85
1751457600,3,175.5,0.21,1.94,99.16,2.01,24.81,65.53,8.08
1751461200,3,209.06,0.2,3.71,100.3,2.31,27.72,65.41,10.99
1751464800,3,259.68,0.05,6.38,97.07,2.61,31.97,66.75,15.2
1751468400,3,310.2,0,7.91,94.76,2.88,37.23,69.48,18.54
1751472000,3,354.01,0,8.34,95.41,3.19,43.59,73.33,20.46
1751475600,4,397.54,0,8.12,100.1,3.64,51.56,79.61,21.21
1751479200,4,435.6,0,7.64,104.96,4.11,59.65,87.17,21.05
1751482800,4,458.52,0,6.91,106.7,4.41,65.65,94.62,20.52
1751486400,4,474.22,0,6.57,103.96,4.43,69.06,101.01,20.9
1751490000,4,476.79,0,6.29,98.2,4.26,69.7,105.73,21.17
1751493600,4,463.26,0,6.07,90.3,3.89,67.51,108.53,21.15
1751497200,4,435.33,0,5.91,81.61,3.35,63.16,111.06,20.73
1751500800,4,393.39,0,5.74,72.22,2.72,57.11,113.8,19.34
1751504400,4,342.58,0,5.5,63.02,2.22,49.9,116.57,17.49
1751508000,4,311.47,0.22,5.63,56.73,2.04,44.73,119.47,16.79
1751511600,4,297.94,0.77,5.37,57.18,2.12,41.93,123.87,16.09
1751515200,4,280.07,0.7,3.98,74.24,2.56,40.36,125.05,13.42
1751518800,4,269.63,0.39,2.53,96.29,2.4,41.11,118.06,11.42
1751522400,4,259.03,0.23,1.66,112.43,2.42,40.99,109.62,9.49
1751526000,3,253.59,0.15,1.15,120.56,2.71,36.36,88.07,6.34
1751529600,3,260.18,0.15,1.15,123.93,2.73,32.51,68.99,5.63
1751533200,3,265.54,0.16,1.26,126.76,2.79,30.04,58.27,5.53
1751536800,3,273.38,0.18,1.48,130.76,2.91,29.03,52.74,5.99
1751540400,3,282.31,0.19,1.9,134.16,3.13,28.85,50.54,6.98
1751544000,3,291.88,0.2,2.64,135.39,3.42,28.37,48.89,7.92
1751547600,3,319.95,0.18,4.81,129.67,3.68,28.32,48.23,10.96
1751551200,3,364.56,0.05,7.89,117.19,3.78,28.84,48.6,15.6
1751554800,3,404.6,0,9.56,105.39,3.73,29.49,49.55,19.32
1751558400,3,428.96,0,10.27,95.8,3.57,29.58,50.09,21.44
1751562000,3,442.89,0,10.24,89.5,3.46,29.71,51.72,22.08
1751565600,3,445.35,0,9.86,84.78,3.44,29.91,54.71,21.72
1751569200,3,426.27,0,8.75,81.91,3.5,29.84,59.38,20.23
1751572800,3,413.74,0,7.99,78.35,3.57,30.41,66.03,20.02
1751576400,3,400.28,0,7.28,74.52,3.47,31.13,73.73,20.08
1751580000,3,381.64,0,6.63,70.2,3.05,31.89,82.3,19.98
1751583600,3,362.58,0,6.22,65.17,2.44,33.01,91.59,20.13
1751587200,4,343.12,0,5.97,60.21,1.89,34.18,101.17,20.13
1751590800,4,323.78,0.01,5.89,55,1.48,35.12,109.98,19.7
1751594400,4,315.91,0.25,6.03,50.93,1.25,36.27,119.19,19.01
1751598000,4,309.51,0.85,5.53,51.96,1.15,37.88,130.66,17.56
1751601600,4,253.82,0.58,3.49,63.52,1.08,38.94,146.35,12.99
1751605200,4,232.12,0.33,2.65,72.85,0.98,40.41,151.54,11.65
1751608800,4,220.79,0.18,2.3,78.14,0.95,41.48,154.58,10.93
1751612400,4,210.38,0.09,1.27,86.47,0.94,34.14,121.43,6.8
1751616000,3,227.6,0.1,0.89,95.94,0.98,28.98,90.25,5.37
1751619600,3,236.71,0.11,0.8,100.18,0.97,27.41,79,5.19
1751623200,3,253.48,0.19,1.25,101.82,0.96,27.7,75.38,6.51
1751626800,3,277.27,0.28,2.2,104.19,1,29.08,75.73,9.59
1751630400,3,303.1,0.33,3.7,106.78,1.11,30.19,76.62,13.13
1751634000,3,362.33,0.37,8.13,98.86,1.4,31.67,77.71,20.54
1751637600,3,433.06,0.11,13.13,81.76,1.6,33.26,79,26.87
1751641200,3,484.8,0,15.29,67.35,1.67,34.51,80.42,29.67
1751644800,3,512.08,0,16,57.53,1.66,34.91,80.61,30.39
1751648400,3,520.59,0,15.68,51.63,1.62,35.13,81.35,29.44
1751652000,3,509.38,0,14.68,49.03,1.51,35.02,83,27.77
1751655600,3,415.15,0,9.81,58.98,1.19,32.35,91.72,19.19
1751659200,3,370.04,0,7.72,60.4,0.94,30.69,94.98,16.85
1751662800,3,339.74,0,6.41,60.03,0.77,29.49,97.57,16.01
1751666400,4,297.15,0,4.58,62.06,0.6,28.02,102.58,13.98
1751670000,4,271.15,0,3.83,60.82,0.5,27.04,105.42,13.33
1751673600,4,249.42,0,3.46,58.02,0.43,26.13,107.72,12.91
1751677200,4,227.82,0,3.22,53.88,0.38,25.14,109.77,12.17
1751680800,4,212.51,0.13,3.09,50.22,0.38,24.61,113.4,11.34
1751684400,4,200.06,0.36,2.76,49.41,0.37,24.42,118.03,10.21
1751688000,4,185.19,0.31,2.25,53.54,0.36,24.74,123.11,8.91
1751691600,4,177.48,0.2,1.98,57.65,0.39,25.43,125.46,8.42
1751695200,4,172.18,0.12,1.79,61.44,0.48,26.26,126.46,8
1751698800,4,178.81,0.04,1.28,70.76,0.84,26.03,105.62,5.71
1751702400,3,193.25,0.04,1.14,75.54,0.8,24.49,87.61,5.06
1751706000,3,200.36,0.04,1.22,76.18,0.69,23.19,80.16,5.13
1751709600,3,207.95,0.05,1.47,75.96,0.64,22.77,77.46,5.61
1751713200,3,214.75,0.06,1.88,74.17,0.63,22.6,75.93,6.39
1751716800,3,222.13,0.07,2.4,72.38,0.63,22.16,73.79,7.11
1751720400,3,246.79,0.07,4.29,66.68,0.7,22.35,72.65,9.97
1751724000,3,283.02,0.02,6.71,58.73,0.83,23.2,72.48,13.87
1751727600,3,311.01,0,8.1,53.19,0.93,24.07,72.02,16.72
1751731200,3,321.49,0,8.57,49.77,0.94,24.21,70.22,18.11
1751734800,3,316.41,0,8.1,49.05,0.89,23.91,69.36,17.81
1751738400,3,297.73,0,7.11,50.41,0.8,23.07,70.26,16.33
1751742000,3,248.91,0,4.75,55.1,0.66,21.09,73.16,12.51
1751745600,3,221.15,0,3.71,56.05,0.58,20.07,76.95,11.1
1751749200,3,197.72,0,2.95,55.66,0.51,19.71,82.48,10.16
1751752800,3,171.44,0,2.14,55.37,0.42,19.65,89.33,8.6
1751756400,3,156.93,0,1.86,53.29,0.37,20.5,96.19,8.29
1751760000,4,146.72,0,1.74,51.07,0.34,21.49,101.82,8.25
1751763600,4,139.09,0,1.7,48.82,0.33,22.01,104.78,8.13
1751767200,4,136.52,0.04,1.77,47.18,0.33,21.95,105.1,7.83
1751770800,4,136.95,0.16,1.79,46.72,0.36,21.43,103.66,7.36
1751774400,3,135.76,0.22,1.45,50.08,0.41,19.99,95.67,6.41
1751778000,3,134.63,0.2,1.12,55.68,0.47,19.01,87.86,5.77
1751781600,3,133.06,0.17,0.83,61.78,0.51,19.31,85.21,5.28
1751785200,3,138.31,0.04,0.84,63.38,0.45,16.63,69.9,4.1
1751788800,3,142.97,0.02,0.89,61.69,0.38,13.85,57.19,3.51
1751792400,3,142.94,0.02,0.96,60.21,0.36,12.97,54.08,3.44
1751796000,3,146.25,0.04,1.26,58.94,0.41,12.72,51.24,4.27
1751799600,2,154.32,0.09,1.79,57.53,0.44,12.44,47.31,5.84
1751803200,2,164.73,0.14,2.4,57.03,0.46,12.19,44.49,7.21
1751806800,2,180.61,0.15,3.45,55.2,0.49,12.44,45.56,9.07
1751810400,2,196.64,0.05,4.54,52.07,0.55,13.01,49.01,10.82
1751814000,3,207.76,0,5,49.72,0.59,13.55,52.53,12.17
1751817600,3,209.47,0,5,47.9,0.59,13.8,55.44,12.79
1751821200,3,206.12,0,4.81,46.67,0.61,14.05,58.87,12.83
1751824800,3,195.57,0,4.5,45.39,0.65,14.16,61.67,12.08
1751828400,3,174.78,0,3.77,45.33,0.69,13.31,56.52,9.57
1751832000,2,164.77,0,3.58,44.96,0.68,12.52,46.39,8.42
1751835600,2,159.19,0,3.53,44.48,0.67,12.12,38.93,7.86
1751839200,2,152.11,0,3.41,42.9,0.61,12.59,39.7,7.52
1751842800,3,147.06,0,3.27,41.96,0.61,14.53,51.6,7.8
1751846400,3,142.41,0,3.06,41.35,0.6,17.07,67.15,7.94
1751850000,3,139.04,0,2.81,41.16,0.57,19.77,83.52,7.9
1751853600,3,142.14,0.07,2.84,40.97,0.58,21.78,94.95,8.11
1751857200,4,149.93,0.27,2.88,42.48,0.61,22.9,100.3,8.13
1751860800,3,155.17,0.21,2.51,47.97,0.57,19.8,83.81,6.6
1751864400,3,160.41,0.15,2.19,52.07,0.54,16.54,67.78,5.94
1751868000,3,161.29,0.11,1.92,54.81,0.49,15.34,62.04,5.73
1751871600,3,154.63,0.03,1.34,58.38,0.31,13.94,56.04,4.59
1751875200,2,153.84,0.02,1.14,59.69,0.22,12.4,49.25,4.05
1751878800,2,155.63,0.01,1.18,60.27,0.22,11.55,45.59,4.05
1751882400,2,172.15,0.03,2.23,58.32,0.32,11.35,41.37,6.77
1751886000,2,200.78,0.06,4.19,54.18,0.47,11.49,38.27,11.04
1751889600,2,231.89,0.07,6.31,50.57,0.6,11.62,36.27,14.99
1751893200,2,268.68,0.07,8.94,45.39,0.83,12.03,35.86,19.59
1751896800,2,304.91,0.02,11.04,40.03,0.98,12.91,37.65,21.48
1751900400,2,323.75,0,11.64,37.11,0.99,13.54,39.25,20.82
1751904000,2,320.73,0,11.06,35.81,0.94,13.48,40.03,18.47
1751907600,2,315.94,0,10.31,35.17,0.88,13.62,42.36,17.4
1751911200,2,301.5,0,9.27,35.76,0.78,13.86,46.78,16.27
1751914800,3,268.27,0,7.61,38.6,0.69,14.3,54.76,14.57
1751918400,3,245.64,0,6.64,40.07,0.72,15.39,63.79,14.22
1751922000,3,230.43,0,6,41.39,0.78,16.78,72.46,14.29
1751925600,3,220.43,0,5.45,43.2,0.79,18.06,79.78,14.12
1751929200,3,213.49,0,5.05,44.61,0.69,19.13,85.25,13.46
1751932800,3,207.32,0,4.75,45.46,0.63,20.29,90.65,12.51
1751936400,3,198.7,0,4.51,45.88,0.74,21.6,96.62,11.55
1751940000,4,194.27,0.1,4.42,46.72,0.97,23.18,104.86,11.22
1751943600,4,188.72,0.31,4.14,49.53,1.13,24.81,114.95,10.93
1751947200,4,169.12,0.39,3.03,55.74,1.1,25.47,121.54,9.69
1751950800,4,155.59,0.35,2.15,62.06,0.97,25.17,118.81,8.81
1751954400,4,144.08,0.24,1.45,68.36,0.8,24.41,110.12,7.85
1751958000,3,134.44,0.13,0.96,69.98,0.52,19.47,82.08,5.86
1751961600,3,135.92,0.09,0.87,69.37,0.39,15.49,62.03,4.71
1751965200,3,136.9,0.06,0.87,69.06,0.35,13.63,52.6,4.13
1751968800,2,140.32,0.05,1.02,68.93,0.33,12.39,45.17,4.14
1751972400,2,147.57,0.05,1.55,67.29,0.34,11.53,40.26,5.06
1751976000,2,156.91,0.02,2.31,65.03,0.36,10.76,37.36,6.02
1751979600,2,186.57,0.01,4.6,58.66,0.48,10.94,37.36,9.3
1751983200,2,229.95,0,7.44,50.58,0.67,11.95,39.9,13.78
1751986800,2,265.43,0,9.31,44.74,0.81,13,43.09,17.21
1751990400,2,282.88,0,10.03,40.74,0.86,13.55,45.76,18.74
1751994000,2,285.61,0,9.82,39.29,0.87,13.99,49.19,18.95
1751997600,3,273.38,0,9.02,39.53,0.81,14.38,54.08,18.05
1752001200,3,235.23,0,7.09,42.36,0.66,14.49,60.34,15.31
1752004800,3,213.58,0,6.23,42.95,0.59,15.21,65.28,14.72
1752008400,3,198.95,0,5.69,42.92,0.57,16.33,70.59,14.61
1752012000,3,187.01,0,5.23,42.87,0.53,17.71,76.87,14.45
1752015600,3,177.77,0,4.81,42.99,0.48,19.41,84.17,14.01
1752019200,3,169.18,0,4.44,43.23,0.43,21.23,91.64,13.3
1752022800,3,162.4,0,4.11,43.08,0.42,22.94,99.47,12.26
1752026400,4,161.29,0.09,3.98,42.94,0.46,24.78,108.35,11.18
1752030000,4,160.05,0.35,3.59,44.96,0.48,26.51,116.31,9.81
1752033600,4,149.91,0.4,2.81,50.43,0.45,27.91,121.43,8.31
1752037200,4,143.15,0.32,2.29,55.42,0.44,29.11,123.75,7.65
1752040800,4,136.38,0.21,1.82,60.07,0.43,30.19,125.59,7.23
1752044400,3,128.53,0.1,1.17,63.61,0.37,25.25,98.5,5.25
1752048000,3,129.48,0.08,0.86,64.33,0.3,19.37,72.21,3.93
