timestamp,seasons,hour,month,year,day_of_week,timeof_day,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_lag_6,aqi_lag_12,aqi_lag_24,aqi_24hr_avg,aqi
1751396400,1,19,7,2025,1,2,3.0,3.0,3.0,3.0,3.0,3.0,3.33,3
1751400000,1,20,7,2025,1,2,3.0,3.0,3.0,3.0,3.0,3.0,3.33,3
1751403600,1,21,7,2025,1,3,3.0,3.0,3.0,3.0,3.0,3.0,3.33,3
1751407200,1,22,7,2025,1,3,3.0,3.0,3.0,3.0,3.0,3.0,3.33,3
1751410800,1,23,7,2025,1,3,3.0,3.0,3.0,3.0,3.0,4.0,3.29,3
1751414400,1,0,7,2025,2,3,3.0,3.0,3.0,3.0,3.0,4.0,3.25,3
1751418000,1,1,7,2025,2,3,3.0,3.0,3.0,3.0,3.0,4.0,3.21,3
1751421600,1,2,7,2025,2,3,3.0,3.0,3.0,3.0,3.0,4.0,3.17,3
1751425200,1,3,7,2025,2,3,3.0,3.0,3.0,3.0,3.0,4.0,3.12,3
1751428800,1,4,7,2025,2,3,3.0,3.0,3.0,3.0,3.0,4.0,3.08,3
1751432400,1,5,7,2025,2,0,3.0,3.0,3.0,3.0,3.0,4.0,3.04,3
1751436000,1,6,7,2025,2,0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3
1751439600,1,7,7,2025,2,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
1751443200,1,8,7,2025,2,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
1751446800,1,9,7,2025,2,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
1751450400,1,10,7,2025,2,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
1751454000,1,11,7,2025,2,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
1751457600,1,12,7,2025,2,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
1751461200,1,13,7,2025,2,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
1751464800,1,14,7,2025,2,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
1751468400,1,15,7,2025,2,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
1751472000,1,16,7,2025,2,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
1751475600,1,17,7,2025,2,2,3.0,3.0,3.0,3.0,3.0,3.0,3.04,4
1751479200,1,18,7,2025,2,2,4.0,3.0,3.0,3.0,3.0,3.0,3.08,4
1751482800,1,19,7,2025,2,2,4.0,4.0,3.0,3.0,3.0,3.0,3.12,4
1751486400,1,20,7,2025,2,2,4.0,4.0,4.0,3.0,3.0,3.0,3.17,4
1751490000,1,21,7,2025,2,3,4.0,4.0,4.0,3.0,3.0,3.0,3.21,4
1751493600,1,22,7,2025,2,3,4.0,4.0,4.0,3.0,3.0,3.0,3.25,4
1751497200,1,23,7,2025,2,3,4.0,4.0,4.0,4.0,3.0,3.0,3.29,4
1751500800,1,0,7,2025,3,3,4.0,4.0,4.0,4.0,3.0,3.0,3.33,4
1751504400,1,1,7,2025,3,3,4.0,4.0,4.0,4.0,3.0,3.0,3.38,4
1751508000,1,2,7,2025,3,3,4.0,4.0,4.0,4.0,3.0,3.0,3.42,4
1751511600,1,3,7,2025,3,3,4.0,4.0,4.0,4.0,3.0,3.0,3.46,4
1751515200,1,4,7,2025,3,3,4.0,4.0,4.0,4.0,3.0,3.0,3.5,4
1751518800,1,5,7,2025,3,0,4.0,4.0,4.0,4.0,4.0,3.0,3.54,4
1751522400,1,6,7,2025,3,0,4.0,4.0,4.0,4.0,4.0,3.0,3.58,4
1751526000,1,7,7,2025,3,0,4.0,4.0,4.0,4.0,4.0,3.0,3.58,3
1751529600,1,8,7,2025,3,0,3.0,4.0,4.0,4.0,4.0,3.0,3.58,3
